ID,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
8442055,A S S I S ADMINISTRADORES,A S S I S ADMINISTRADORES SC,524210,"Agentes, ajustadores y gestores de seguros y fianzas",11 a 30 personas,AVENIDA,AVENIDA DE LAS NACIONES,CALLE,DAKOTA,AVENIDA,INSURGENTES SUR,CALLE,FILADELFIA,38,,WORLD TRADE CENTER,44,,OFICINA 34,COLONIA,NAPOLES,EDIFICIO COMERCIAL Y DE SERVICIOS,WORLD TRADE CENTER,OFICINA 34,3810,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,219,1,5522650967,ASSIS@ASSIS.COM.MX,WWW.ASSIS.COM.MX,Fijo,19.39467376,-99.17343953,2019-11
6876984,AARCO AGENTE DE SEGURO Y DE FIANZAS,AARCO AGENTE DE SEGUROS Y DE FIANZAS SA DE CV,524210,"Agentes, ajustadores y gestores de seguros y fianzas",6 a 10 personas,CALLE,REAL MAYORAZGO,CALLE,SAN FELIPE,EJE VIAL,1 PONIENTE (AVENIDA MÉXICO-COYOACÁN),CALLE,PUENTE XOCO,37,,,,0,,COLONIA,XOCO,,,,3330,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,952,6,,ARIANA.PENA@AARCO.COM.MX,WWW.AARCO.COM.MX,Fijo,19.35966619,-99.1644936,2019-04
8368491,AARCO AGENTE DE SEGUROS Y DE FIANZAS SA DE CV,AARCO AGENTE DE SEGUROS Y DE FIANZAS SA DE CV,524210,"Agentes, ajustadores y gestores de seguros y fianzas",0 a 5 personas,AVENIDA,7 SUR (FÉLIX CUEVAS),CALLE,5,CALLE,5,CALLE,5,301,,,,0,,COLONIA,DEL VALLE SUR,,,,3100,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,806,19,,MARIO.PAZ@AARCO.COM.MX,WWW.AARCO.COM.MX,Fijo,19.3732868,-99.17740772,2019-11
9191055,ABACAPITAL SOLUCIONES FINANCIERAS,ABACAPITAL SA DE CV,522460,Sociedades financieras de objeto múltiple,6 a 10 personas,CALLE,JOSE MARIA VELASCO,CALLE,PLATEROS,CALLE,MIGUEL NOREÑA,CALLE,MIGUEL NOREÑA,31,,3,19,3,,COLONIA,SAN JOSE INSURGENTES,,,,3900,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,914,15,5555359393,,WWW.ABACAPITAL.COM.MX,Fijo,19.36437607,-99.18734159,2019-11
882054,ABACO SUCURSAL BENITO JUAREZ,ABASTECEDORA DE COCHES SA DE CV,522452,Casas de empeño,11 a 30 personas,CALLE,8 SUR (AVENIDA POPOCATÉPETL),PEATONAL,BALBOA,CALLE,BÉLGICA,CALLE,PIRINEOS,85,,,,,,COLONIA,PORTALES SUR,,,,3300,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,1005,4,,LOHUER@GMAIL.COM,ABACO.ETESA.COM.MX,Fijo,19.360608,-99.14627259,2013-07
6507978,"ABM AMRO SECURITIES (MEXICO), S.A. DE C.V. CASA DE BOLSA","ABM AMRO SECURITIES (MEXICO), S.A. DE C.V. CASA DE BOLSA ",523110,Casas de bolsa,6 a 10 personas,OTRO (ESPECIFIQUE),PROLONGACIÓN REFORMA,OTRO (ESPECIFIQUE),VASCO DE QUIROGA,CALLE,NINGUNO,CALLE,MARIO PANI,,,,,1015,,COLONIA,DESARROLLOSANTAFE,,,,1376,9,CIUDAD DE MÉXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,369,10,,EDUARDO.GUZMAN@INVESTABANK.COM,WWW.INVESTABANK.COM,Fijo,19.36354614,-99.26743072,2016-01
872832,ACASA ACTUARIOS CONSULTORES Y ASESORES,ACASA ACTUARIOS CONSULTORES Y ASESORES SA DE CV,524210,"Agentes, ajustadores y gestores de seguros y fianzas",0 a 5 personas,EJE VIAL,2 PONIENTE (GABRIEL MANCERA),EJE VIAL,7 SUR (FELIX CUEVAS),CALLE,PARROQUIA,CALLE,NICOLÁS SAN JUAN,1556,A,,,104,A,COLONIA,DEL VALLE SUR,,,,3104,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,810,7,5552077958,JESUS.MANZANO@ACASA.COM.MX,WWW.ACASA.COM.MX,Fijo,19.37034236,-99.16810832,2011-03
6508052,ACCENDO BANCO,ACCENDO BANCO SA DE CV,522110,Banca múltiple,31 a 50 personas,AVENIDA,PASEO DE LA REFORMA,CALLE,RÍO RHIN,CALLE,RÍO AMAZONAS,CALLE,RÍO LERMA,243,,EDIFICIO SIN NOMBRE,29,,,COLONIA,CUAUHTÉMOC,EDIFICIO COMERCIAL Y DE SERVICIOS,TORRE MAPFRE,,6500,9,CIUDAD DE MÉXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,369,10,,BERNARDO.MARCELLIN@ACCENDO.COM.MX,WWW.ACCENDO.COM.MX,Fijo,19.3635475,-99.26742848,2016-01
6508258,"ACE SEGUROS, S.A.","ACE SEGUROS, S.A. ",524110,Compañías de seguros,101 a 250 personas,OTRO (ESPECIFIQUE),BOSQUE DE ALISOS,,PASEO DE LOS TAMARINDOS,OTRO (ESPECIFIQUE),PASEO DE LOS LAURELES,CALLE,RODOLFO ESCAMILLA,,A,PISO 1,,47,,CIUDAD,BOSQUES DE LAS LOMAS,OTRO CONGLOMERADO,,,5120,9,CIUDAD DE MÉXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,195,3,,VICKY.ROMERO@ACEGROUP.COM,WWW.AGCEGROPU.COM,Fijo,19.38683179,-99.24869863,2016-01
6771452,ACTINVER,"BANCO ACTINVER, INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER SA",522110,Banca múltiple,6 a 10 personas,AVENIDA,Vasco de Quiroga,OTRO (ESPECIFIQUE),Vasco de Quiroga,CALLE,Ninguno,AUTOPISTA,México-Toluca,3850,,,18,0,,COLONIA,SANTA FE CUAJIMALPA,,SANTA FE,1650,5348,9,CIUDAD DE MÉXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,369,1,,UNIDAD@ACTINVER.COM.MX,WWW.ACTINVER.COM,Fijo,19.36267381,-99.27430905,2016-10
6801219,ACTINVER,"BANCO ACTINVER, INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER SA",522110,Banca múltiple,6 a 10 personas,AVENIDA,8 Sur (Avenida Popocatépetl),CALLE,Mayorazgo de Solís,AVENIDA,Universidad,CALLE,Mayorazgo Higuera,546,,,,0,,COLONIA,XOCO,,PATIO UNIVERSIDAD,S-38,3330,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,952,5,,UNIDAD@ACTINVER.COM.MX,WWW.ACTINVER.COM,Fijo,19.36593451,-99.16669203,2017-11
6801222,ACTINVER,"BANCO ACTINVER, INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER SA",522110,Banca múltiple,11 a 30 personas,AVENIDA,Insurgentes Sur,CALLE,Artemio del Valle Arizpe,EJE VIAL,4 Sur (Xola),AVENIDA,Magdalena,584,,,,0,,COLONIA,DEL VALLE CENTRO,,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,584,3100,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,223,12,,UNIDAD@ACTINVER.COM.MX,WWW.ACTINVER.COM,Fijo,19.3981834,-99.17085751,2017-11
928255,ACTINVER,"BANCO ACTINVER, INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER SA",522110,Banca múltiple,11 a 30 personas,RETORNO,Manzana,CALLE,Loreto,CERRADA,Persino,OTRO (ESPECIFIQUE),Manzana o Edificación Contigua,4132,,,,0,,COLONIA,JARDINES DEL PEDREGAL,,GRAN TERRAZA PEDREGAL,"10, 11 Y 12",1900,9,CIUDAD DE MÉXICO,10,Álvaro Obregón,1,Álvaro Obregón,128A,24,,UNIDAD@ACTINVER.COM.MX,WWW.ACTINVER.COM,Fijo,19.31500082,-99.21980632,2014-12
6801218,ACTINVER,"BANCO ACTINVER, INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER SA",522110,Banca múltiple,11 a 30 personas,AVENIDA,Angelina,AVENIDA,Camino al Desierto de los Leones,AVENIDA,Revolución,CALLE,Pedro Luis Ogazón,32,,,17,0,,COLONIA,GUADALUPE INN,,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,"101, 102, 103 Y 104",1020,9,CIUDAD DE MÉXICO,10,Álvaro Obregón,1,Álvaro Obregón,1059,29,,UNIDAD@ACTINVER.COM.MX,WWW.ACTINVER.COM,Fijo,19.34940467,-99.18958948,2017-11
6771453,ACTINVER CASA DE BOLSA SA DE CV,ACTINVER CASA DE BOLSA SA,523110,Casas de bolsa,6 a 10 personas,AVENIDA,GUILLERMO GONZALEZ CAMARENA,CIRCUITO,GUILLERMO GONZALEZ CAMARENA,AVENIDA,ERNESTO MARTINEZ DOMINGUEZ,AVENIDA,SANTA FE,1200,,EDIFICIO SIN NOMBRE,99,,,COLONIA,SANTA FE,EDIFICIO COMERCIAL Y DE SERVICIOS,PLAZA DEL PARQUE,PISOS 9 Y 10,1210,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,223,12,,jchavezs@actinver.com.mx,www.actinver.com.mx,Fijo,19.39817959,-99.17085875,2016-10
8387059,ACTIVO SEGURO S.A DE C.V,ACTIVO SEGURO SA DE CV,524210,"Agentes, ajustadores y gestores de seguros y fianzas",0 a 5 personas,EJE VIAL,CENTRAL (LAZARO CARDENAS),CALLE,CASA DEL OBRERO MUNDIAL,CALLE,ESPARTA,EJE VIAL,CENTRAL (LÁZARO CÁRDENAS),395,,,,,SN,COLONIA,ALAMOS,,,,3400,9,CIUDAD DE MÉXICO,14,Benito Juárez,1,Benito Juárez,30,19,,,,Fijo,19.40245652,-99.14496069,2019-11
